mereka melakukannya!	mereka tidak !
dia baik-baik saja?	saya harap begitu .
Wow	Ayo pergi .
barang bagus apa?	Anda yang sebenarnya.
apakah kamu mendengarkan omong kosong ini?	omong kosong apa ?
baiklah tidak . . .	Kalau begitu, itu saja yang perlu kamu katakan.
Kalau begitu, itu saja yang perlu kamu katakan.	Tetapi
Tetapi	kamu selalu egois seperti ini?
bersenang-senang malam ini?	berton-ton
Hai .	Sepertinya semuanya berjalan baik malam ini ya?
kamu memegang kata-kataku. sebagai seorang pria sejati	kamu manis.
di sana .	Di mana ?
Besar	bisakah kamu mengambilkan aku minuman, cameron?
WHO ?	anak .
apakah kamu mengubah rambutmu?	TIDAK .
TIDAK .	Anda mungkin ingin memikirkannya
itu lebih	mahal ?
lepaskan !	Kamu menjebakku.
Kamu menjebakku.	aku hanya ingin
Kamu terlihat cantik tadi malam, tahu kan?	begitu juga kamu
Apa ?	di th. selama sebulan
di th. selama sebulan	Mengapa ?
Mengapa ?	dia seperti bayi sungguhan
dia seperti bayi sungguhan	tapi kamu membenci joey
kemana saja kamu?	tidak ke mana-mana . . . hai ayah.
pesta prom? kat punya kencan?	tidak tapi
Mengapa ?	Karena dia akan membuat mereka takut.
ayah tidak!	hanya sebentar
Ya Tuhan. Ini baru mulai.	ini hanya pesta. ayah.
Ayah aku	dan kamu mau kemana ?
tapi dia tidak ingin berkencan.	tepat sekali maksud saya
dia cantik!	oke! aku tidak yakin
ini masalah kanker paru-paru	paman kesayangannya
paman kesayangannya	meninggal pada usia empat puluh satu.
bagaimana dengan dia ?	kamu mau keluar dengan dia?
Jadi, kamu dari Dakota yang mana?	utara sebenarnya. bagaimana kabarmu?
utara sebenarnya. bagaimana kabarmu?	Saya bercanda. Apakah benar-benar ada orang yang tinggal di sana?
Berapa banyak orang di sekolah lamamu?	tiga puluh dua .
tiga puluh dua .	keluar !
keluar !	berapa banyak orang yang pergi kesini?
berapa banyak orang yang pergi kesini?	beberapa ribu. kebanyakan dari mereka jahat
kamu orang baru?	jadi mereka memberitahuku...
apa yang terburuk ?	kamu dapat gadis itu.
dia menciumku.	Di mana ?
Cameron, apakah kamu menyukai gadis itu?	Tentu
Tentu	kalau begitu pergilah dan temui dia
Cameron, aku sedikit sibuk	itu salah. semuanya.
tinggalkan adikku sendiri.	dan mengapa saya melakukan itu?
kamu mau kemana ?	jauh .
jauh .	adikmu disini?
Hei, apakah kamu keberatan?	sama sekali tidak
Bagaimana kamu melakukannya?	melakukan apa?
melakukan apa?	buat dia bertindak seperti manusia
Sudah waktunya.	Suatu kesepakatan adalah kesepakatan.
Apa ?	seratus dolar per kencan.
seratus dolar per kencan.	lupakan .
lupakan .	lupakan saja kakaknya.
kamu baru saja mengatakan	kamu butuh uang untuk mengajak seorang gadis keluar
Ya	bagaimana menurutmu ?
Saya dengar Anda membantu Verona.	uh ya. kita teman lama
uh ya. kita teman lama	kamu dan verona?
Hai .	apakah kamu tersesat ?
apakah kamu tersesat ?	tidak, hanya datang untuk mengobrol
tidak, hanya datang untuk mengobrol	kami tidak ngobrol.
apakah kamu pernah melihatnya?	WHO ?
WHO ?	william memintaku untuk menemuinya di sini.
apa yang dia katakan ?	siapa peduli ?
kamu pikir ini akan berhasil?	tidak takut.
william bahkan tidak bersekolah di SMA	itu tidak pernah terbukti
dia selalu terlihat begitu	blok e ?
nenek saya	Apa ?
itu hanya sesuatu yang aku miliki. kau tahu	Oh ya
apakah itu permintaan atau perintah?	kamu tahu apa maksudku
kamu tahu apa maksudku	TIDAK .
TIDAK .	tidak apa?
tidak apa?	tidak, aku tidak akan pergi denganmu
tidak, aku tidak akan pergi denganmu	mengapa tidak ?
Apa ?	tidak ada orang lain yang tahu
kamu siap?	untuk . . . ?
sisi lembut? siapa yang tahu?	ya baiklah jangan biarkan itu keluar
ya baiklah jangan biarkan itu keluar	Jadi apa alasanmu ?
Jadi apa alasanmu ?	bertindak seperti yang kita lakukan.
bertindak seperti yang kita lakukan.	Ya
sesuatu seperti itu	lalu kamu mengacaukannya
lalu kamu mengacaukannya	Bagaimana ?
Bagaimana ?	kamu tidak pernah mengecewakanku.
letakkan kaki kananmu di sana	lupakan saja. aku akan tinggal.
ayolah. tidak seburuk itu	coba lihat dari sudut pandang ini
apa yang kamu lakukan di sini ?	Saya mendengar ada pembacaan puisi.
